select min(id) from courses where id in(6,7); #11:05:02@dvc-sd.db
select avg(id) from courses where id in(6,7); #11:05:54@dvc-sd.db
select avg(id) from courses where id in(6,7); #11:06:19@dvc-sd.db
select * from npc; #11:17:02@rubyquest.db
select count(*) as number_npc from npc; #11:20:04@rubyquest.db
select * from animal; #11:22:54@rubyquest.db
select count(*) from animal; #11:23:02@rubyquest.db
select count(*) from animal; #11:23:06@rubyquest.db
select * from animal; #11:23:12@rubyquest.db
select count(*) from animal; #11:23:31@rubyquest.db
select count(*) from animal; #11:23:33@rubyquest.db
select count(*) from animal; #11:23:34@rubyquest.db
select count(*) from animal; #11:23:34@rubyquest.db
select count(*) from animal; #11:23:34@rubyquest.db
select count(*) from animal; #11:23:34@rubyquest.db
select count(*) from animal; #11:23:35@rubyquest.db
select count(*) from animal; #11:23:35@rubyquest.db
select count(*) from animal; #11:23:35@rubyquest.db
select count(*) from animal; #11:23:35@rubyquest.db
select count(*) from animal; #11:24:00@rubyquest.db
select * from animal; #11:24:22@rubyquest.db
select count(*) from animal; #11:25:25@rubyquest.db
select count(*) from animal order by id; #11:27:46@rubyquest.db
select count(*) from city order by name; #11:29:30@rubyquest.db
select count(*) from city ; #11:29:38@rubyquest.db
select count(*) from city ; #11:29:39@rubyquest.db
select count(*) from city ; #11:29:39@rubyquest.db
select count(*) from city ; #11:29:39@rubyquest.db
select count(*) from city ; #11:29:39@rubyquest.db
select * from city ; #11:29:49@rubyquest.db
select * from city order by name; #11:30:02@rubyquest.db
select * from city ; #11:30:12@rubyquest.db
select count(*) from city ; #11:30:23@rubyquest.db
select * from animal order by"scheep"; #11:31:45@rubyquest.db
select count(*) from animal order by "scheep"; #11:31:53@rubyquest.db
select count(*) from animal order by "scheep"; #11:31:55@rubyquest.db
select count(*) from animal order by "scheep"; #11:31:55@rubyquest.db
select count(*) from animal order by "scheep"; #11:31:56@rubyquest.db
select count(*) from animal order by "scheep"; #11:31:56@rubyquest.db
select count(*) from animal order by "scheep"; #11:31:56@rubyquest.db
select count(*) from animal order by "scheep"; #11:31:56@rubyquest.db
select count(*) from animal order by "scheep"; #11:31:56@rubyquest.db
select count(*) from animal order by "scheep"; #11:31:57@rubyquest.db
select count(*) from animal order by "scheep"; #11:31:57@rubyquest.db
select count(*) from animal order by "scheep"; #11:31:57@rubyquest.db
select count(*) from animal order by type =  "scheep"; #11:32:14@rubyquest.db
select count(*) from animal; #11:33:41@rubyquest.db
select * from animal; #11:33:47@rubyquest.db
select count(*) from animal where type =  "sheep"; #11:34:21@rubyquest.db
select count(*) from animal where type ; #11:34:46@rubyquest.db
select * from animal ; #11:34:59@rubyquest.db
select count("scheep") from animal ; #11:35:18@rubyquest.db
select count("scheep") from animal ; #11:35:20@rubyquest.db
select count("scheep") from animal ; #11:35:20@rubyquest.db
select count("scheep") from animal ; #11:35:20@rubyquest.db
select count("scheep") from animal ; #11:35:20@rubyquest.db
select count(*) from animal order by type = "scheep"; #11:35:59@rubyquest.db
select count(type) from animal  ; #11:36:14@rubyquest.db
select count(type) from animal  ; #11:36:15@rubyquest.db
select count(type) from animal  ; #11:36:15@rubyquest.db
